,city,event,stage,dates,match_type,match_type_number,player_of_match,winner,winner_by,overs,season,team_type,team1,team2,toss_winner,toss_decision,venue
103,Lahore,England tour of Pakistan,,2022-09-28,T20,1801,Mohammad Rizwan,Pakistan,{'runs': 6},20,2022,international,Pakistan,England,England,field,"Gaddafi Stadium, Lahore"
104,Lahore,England tour of Pakistan,,2022-09-30,T20,1802,PD Salt,England,{'wickets': 8},20,2022,international,Pakistan,England,England,field,"Gaddafi Stadium, Lahore"
105,Lahore,England tour of Pakistan,,2022-10-02,T20,1804,DJ Malan,England,{'runs': 67},20,2022,international,England,Pakistan,Pakistan,field,"Gaddafi Stadium, Lahore"
106,Dubai,Asia Cup,,2022-08-28,T20,1750,HH Pandya,India,{'wickets': 5},20,2022,international,Pakistan,India,India,field,Dubai International Cricket Stadium
107,Sharjah,Asia Cup,,2022-09-02,T20,1756,Mohammad Rizwan,Pakistan,{'runs': 155},20,2022,international,Pakistan,Hong Kong,Hong Kong,field,Sharjah Cricket Stadium
108,Dubai,Asia Cup,,2022-09-04,T20,1758,Mohammad Nawaz,Pakistan,{'wickets': 5},20,2022,international,India,Pakistan,Pakistan,field,Dubai International Cricket Stadium
109,Dubai,Asia Cup,,2022-09-09,T20,1764,PWH de Silva,Sri Lanka,{'wickets': 5},20,2022,international,Pakistan,Sri Lanka,Sri Lanka,field,Dubai International Cricket Stadium
110,Dubai,Asia Cup,Final,2022-09-11,T20,1769,PBB Rajapaksa,Sri Lanka,{'runs': 23},20,2022,international,Sri Lanka,Pakistan,Pakistan,field,Dubai International Cricket Stadium
111,Lahore,New Zealand tour of Pakistan,,2023-04-14,T20,2045,Haris Rauf,Pakistan,{'runs': 88},20,2023,international,Pakistan,New Zealand,Pakistan,bat,"Gaddafi Stadium, Lahore"
112,Lahore,New Zealand tour of Pakistan,,2023-04-15,T20,2046,Babar Azam,Pakistan,{'runs': 38},20,2023,international,Pakistan,New Zealand,Pakistan,bat,"Gaddafi Stadium, Lahore"
